AA0101,1,Admiralty Islands lowland rain forests
AA0102,1,Banda Sea Islands moist deciduous forests
AA0103,1,Biak-Numfoor rain forests
AA0104,1,Buru rain forests
AA0105,1,Central Range montane rain forests
AA0106,1,Halmahera rain forests
AA0107,1,Huon Peninsula montane rain forests
AA0108,1,Japen rain forests
AA0109,1,Lord Howe Island subtropical forests
AA0110,1,Louisiade Archipelago rain forests
AA0111,1,New Britain-New Ireland lowland rain forests
AA0112,1,New Britain-New Ireland montane rain forests
AA0113,1,New Caledonia rain forests
AA0114,1,Norfolk Island subtropical forests
AA0115,1,Northern New Guinea lowland rain and freshwater swamp forests
AA0116,1,Northern New Guinea montane rain forests
AA0117,1,Queensland tropical rain forests
AA0118,1,Seram rain forests
AA0119,1,Solomon Islands rain forests
AA0120,1,Southeastern Papuan rain forests
AA0121,1,Southern New Guinea freshwater swamp forests
AA0122,1,Southern New Guinea lowland rain forests
AA0123,1,Sulawesi lowland rain forests
AA0124,1,Sulawesi montane rain forests
AA0125,1,Trobriand Islands rain forests
AA0126,1,Vanuatu rain forests
AA0127,1,Vogelkop montane rain forests
AA0128,1,Vogelkop-Aru lowland rain forests
AA0201,2,Lesser Sundas deciduous forests
AA0202,2,New Caledonia dry forests
AA0203,2,Sumba deciduous forests
AA0204,2,Timor and Wetar deciduous forests
AA0401,4,Chatham Island temperate forests
AA0402,4,Eastern Australian temperate forests
AA0403,4,Fiordland temperate forests
AA0404,4,Nelson Coast temperate forests
AA0405,4,North Island temperate forests
AA0406,4,Northland temperate kauri forests
AA0407,4,Rakiura Island temperate forests
AA0408,4,Richmond temperate forests
AA0409,4,Southeast Australia temperate forests
AA0410,4,Southland temperate forests
AA0411,4,Tasmanian Central Highland forests
AA0412,4,Tasmanian temperate forests
AA0413,4,Tasmanian temperate rain forests
AA0414,4,Westland temperate forests
AA0701,7,Arnhem Land tropical savanna
AA0702,7,Brigalow tropical savanna
AA0703,7,Cape York Peninsula tropical savanna
AA0704,7,Carpentaria tropical savanna
AA0705,7,Einasleigh upland savanna
AA0706,7,Kimberly tropical savanna
AA0707,7,Mitchell grass downs
AA0708,7,Trans Fly savanna and grasslands
AA0709,7,Victoria Plains tropical savanna
AA0801,8,Cantebury-Otago tussock grasslands
AA0802,8,Eastern Australia mulga shrublands
AA0803,8,Southeast Australia temperate savanna
AA1001,10,Australian Alps montane grasslands
AA1002,10,Central Range sub-alpine grasslands
AA1003,10,South Island montane grasslands
AA1101,11,Antipodes Subantarctic Islands tundra
AA1201,12,Coolgardie woodlands
AA1202,12,Esperance mallee
AA1203,12,Eyre and York mallee
AA1204,12,Jarrah-Karri forest and shrublands
AA1205,12,Kwongan heathlands
AA1206,12,Mount Lofty woodlands
AA1207,12,Murray-Darling woodlands and mallee
AA1208,12,Naracoorte woodlands
AA1209,12,Southwest Australia savanna
AA1210,12,Southwest Australia woodlands
AA1301,13,Carnarvon xeric shrublands
AA1302,13,Central Ranges xeric scrub
AA1303,13,Gibson desert
AA1304,13,Great Sandy-Tanami desert
AA1305,13,Great Victoria desert
AA1306,13,Nullarbor Plains xeric shrublands
AA1307,13,Pilbara shrublands
AA1308,13,Simpson desert
AA1309,13,Tirari-Stuart stony desert
AA1310,13,Western Australian Mulga shrublands
AA1401,14,New Guinea mangroves
AN1101,11,Marielandia Antarctic tundra
AN1102,11,Maudlandia Antarctic desert
AN1103,11,Scotia Sea Islands tundra
AN1104,11,Southern Indian Ocean Islands tundra 
AT0101,1,Albertine Rift montane forests
AT0102,1,Atlantic Equatorial coastal forests
AT0103,1,Cameroonian Highlands forests
AT0104,1,Central Congolian lowland forests
AT0105,1,Comoros forests
