1	Tropical and subtropical moist broadleaf forests
2	Tropical and subtropical dry broadleaf forests
3	Tropical and subtropical coniferous forests
4	Temperate broadleaf and mixed forests
5	Temperate coniferous forests
6	Boreal forests/taiga 
7	Tropical and subtropical grasslands, savannas, and shrublands
8	Temperate grasslands, savannas, and shrublands
9	Flooded grasslands and savannas
10	Montane grasslands and shrublands
11	Tundra
12	Mediterranean forests, woodlands, and shrub
13	Deserts and xeric shrublands
14	Mangrove
